标题,标题链接,bd,数量,编号,inq
触不可及,https://movie.douban.com/subject/6786002/,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
                            2011 / 法国 / 剧情 喜剧
                        ",9.3,1136363人评价,满满温情的高雅喜剧。
当幸福来敲门,https://movie.douban.com/subject/1849031/,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006 / 美国 / 剧情 传记 家庭
                        ",9.2,1540429人评价,平民励志片。 
末代皇帝,https://movie.douban.com/subject/1293172/,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
                        ",9.3,902187人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,https://movie.douban.com/subject/20495023/,"
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...
                            2017 / 美国 / 喜剧 动画 奇幻 音乐
                        ",9.1,1713408人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
龙猫,https://movie.douban.com/subject/1291560/,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988 / 日本 / 动画 奇幻 冒险
                        ",9.2,1283823人评价,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,https://movie.douban.com/subject/3319755/,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010 / 美国 / 剧情 喜剧 爱情
                        ",9.1,1858938人评价,真正的幸福是来自内心深处。
活着,https://movie.douban.com/subject/1292365/,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭
                        ",9.3,860576人评价,张艺谋最好的电影。
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险
                        ",9.2,1214816人评价,童话世界的开端。
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",9.2,1077851人评价,无尽的黑暗。
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",9.3,815852人评价,史诗的终章。
我不是药神,https://movie.douban.com/subject/26752088/,"
                            导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...
                            2018 / 中国大陆 / 剧情 喜剧
                        ",9.0,2134756人评价,对我们国家而言，这样的电影多一部是一部。
乱世佳人,https://movie.douban.com/subject/1300267/,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
                            1939 / 美国 / 剧情 历史 爱情 战争
                        ",9.3,702141人评价,Tomorrow is another day.
飞屋环游记,https://movie.douban.com/subject/2129039/,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ",9.1,1345757人评价,最后那些最无聊的事情，才是最值得怀念的。 
素媛,https://movie.douban.com/subject/21937452/,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情
                        ",9.3,697417人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 动画 奇幻 冒险
                        ",9.1,1043183人评价,带着心爱的人在天空飞翔。
十二怒汉,https://movie.douban.com/subject/1293182/,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情
                        ",9.4,500071人评价,1957年的理想主义。 
何以为家,https://movie.douban.com/subject/30170448/,"
                            导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
                            2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情
                        ",9.1,1059761人评价,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭
                        ",9.0,1589911人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
