标题,标题链接,bd,数量,编号,inq
一一,https://movie.douban.com/subject/1292434/,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
                            2000 / 中国台湾 日本 / 剧情 爱情 家庭
                        ",9.1,403311人评价,我们都曾经是一一。
狩猎,https://movie.douban.com/subject/6985810/,"
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
                            2012 / 丹麦 瑞典 / 剧情
                        ",9.1,399288人评价,人言可畏。
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,"
                            导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
                            1993 / 中国香港 / 喜剧 爱情 古装
                        ",8.7,1096334人评价,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物,https://movie.douban.com/subject/10777687/,"
                            导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
                            2013 / 韩国 / 剧情 喜剧 家庭
                        ",8.9,565138人评价,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...
                            2006 / 日本 / 剧情 歌舞
                        ",8.9,711516人评价,以戏谑来戏谑戏谑。
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,"
                            导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...
                            2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性
                        ",8.8,733425人评价,沉醉在电影的情感和视听氛围中无法自拔。
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",8.8,733756人评价,诺兰就是保证。
断背山,https://movie.douban.com/subject/1418834/,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
                        ",8.8,714910人评价,每个人心中都有一座断背山。
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情
                        ",8.8,695811人评价,缘分是个连绵词，最美不过一瞬。
剪刀手爱德华,https://movie.douban.com/subject/1292370/,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...
                            1990 / 美国 / 剧情 奇幻 爱情
                        ",8.7,1045492人评价,浪漫忧郁的成人童话。
入殓师,https://movie.douban.com/subject/2149806/,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...
                            2008 / 日本 / 剧情
                        ",8.9,676715人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感,https://movie.douban.com/subject/1297630/,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...
                            1999 / 美国 / 剧情 悬疑 惊悚
                        ",8.9,564428人评价,深入内心的恐怖，出人意料的结局。
重庆森林,https://movie.douban.com/subject/1291999/,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...
                            1994 / 中国香港 / 剧情 爱情
                        ",8.8,823372人评价,寂寞没有期限。
勇敢的心,https://movie.douban.com/subject/1294639/,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ",8.9,563868人评价,史诗大片的典范。
超能陆战队,https://movie.douban.com/subject/11026735/,"
                            导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...
                            2014 / 美国 / 喜剧 动作 科幻 动画 冒险
                        ",8.7,1029794人评价,Balalala~~~
甜蜜蜜,https://movie.douban.com/subject/1305164/,"
                            导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
                            1996 / 中国香港 / 剧情 爱情
                        ",8.9,565962人评价,相逢只要一瞬间，等待却像是一辈子。
幽灵公主,https://movie.douban.com/subject/1297359/,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...
                            1997 / 日本 / 动画 奇幻 冒险
                        ",8.9,531459人评价,人与自然的战争史诗。
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            2004 / 美国 法国 / 剧情 爱情
                        ",8.9,571689人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,https://movie.douban.com/subject/1293359/,"
                            导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...
                            1999 / 日本 / 剧情 喜剧
                        ",8.9,604714人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,"
                            导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...
                            2010 / 日本 / 动画 奇幻 冒险
                        ",8.9,562118人评价,曾经的那段美好会沉淀为一辈子的记忆。
消失的爱人,https://movie.douban.com/subject/21318488/,"
                            导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...
                            2014 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ",8.7,969283人评价,年度最佳date movie。
寄生虫,https://movie.douban.com/subject/27010768/,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...
                            2019 / 韩国 / 剧情
                        ",8.8,1389423人评价,
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,"
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
                            1994 / 中国大陆 中国香港 / 剧情 爱情
                        ",8.8,622516人评价,一场华丽的意淫。
天使爱美丽,https://movie.douban.com/subject/1292215/,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...
                            2001 / 法国 德国 / 剧情 喜剧 爱情
                        ",8.7,961943人评价,法式小清新。 
完美的世界,https://movie.douban.com/subject/1300992/,"
                            导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...
                            1993 / 美国 / 剧情 犯罪
                        ",9.1,320098人评价,坏人的好总是比好人的好来得更感人。
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,"
                            导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
                            2014 / 日本 / 剧情
                        ",9.0,431284人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
倩女幽魂,https://movie.douban.com/subject/1297447/,"
                            导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...
                            1987 / 中国香港 / 爱情 奇幻 武侠 古装
                        ",8.8,747699人评价,两张绝世的脸。 
无人知晓,https://movie.douban.com/subject/1292337/,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...
                            2004 / 日本 / 剧情
                        ",9.1,324127人评价,我的平常生活就是他人的幸福。
时空恋旅人,https://movie.douban.com/subject/10577869/,"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...
                            2013 / 英国 / 喜剧 爱情 奇幻
                        ",8.8,686334人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
侧耳倾听,https://movie.douban.com/subject/1297052/,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...
                            1995 / 日本 / 剧情 爱情 动画
                        ",8.9,469591人评价,少女情怀总是诗。
未麻的部屋,https://movie.douban.com/subject/1395091/,"
                            导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...
                            1997 / 日本 / 动画 奇幻 惊悚
                        ",9.1,344219人评价,好的剧本是，就算你猜到了结局也猜不到全部。
幸福终点站,https://movie.douban.com/subject/1292274/,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            2004 / 美国 / 喜剧 剧情 爱情
                        ",8.8,579794人评价,有时候幸福需要等一等。 
驯龙高手,https://movie.douban.com/subject/2353023/,"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...
                            2010 / 美国 / 动画 奇幻 冒险
                        ",8.8,766415人评价,和谐的生活离不开摸头与被摸头。
哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,"
                            导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...
                            2005 / 英国 美国 / 悬疑 奇幻 冒险
                        ",8.8,675008人评价,
小森林 冬春篇,https://movie.douban.com/subject/25814707/,"
                            导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
                            2015 / 日本 / 剧情
                        ",9.0,383888人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,"
                            导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...
                            2015 / 瑞典 / 剧情
                        ",8.9,492513人评价,惠及一生的美丽。
教父3,https://movie.douban.com/subject/1294240/,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1990 / 美国 / 剧情 犯罪
                        ",9.0,380683人评价,任何信念的力量，都无法改变命运。
怪兽电力公司,https://movie.douban.com/subject/1291579/,"
                            导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...
                            2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险
                        ",8.8,683946人评价,不要给它起名字，起了名字就有感情了。
傲慢与偏见,https://movie.douban.com/subject/1418200/,"
                            导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...
                            2005 / 法国 英国 美国 / 剧情 爱情
                        ",8.7,814335人评价,爱是摈弃傲慢与偏见之后的曙光。
玩具总动员3,https://movie.douban.com/subject/1858711/,"
                            导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...
                            2010 / 美国 / 喜剧 动画 奇幻 冒险
                        ",8.9,526431人评价,跨度十五年的欢乐与泪水。
萤火之森,https://movie.douban.com/subject/5989818/,"
                            导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...
                            2011 / 日本 / 剧情 爱情 动画 奇幻
                        ",8.9,548024人评价,触不到的恋人。
新世界,https://movie.douban.com/subject/10437779/,"
                            导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...
                            2013 / 韩国 / 剧情 犯罪
                        ",8.9,446199人评价,要做就做得狠一点，这样才能活下去。
釜山行,https://movie.douban.com/subject/25986180/,"
                            导演: 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...
                            2016 / 韩国 / 动作 惊悚 灾难
                        ",8.6,1216001人评价,揭露人性的丧尸题材力作。
被解救的姜戈,https://movie.douban.com/subject/6307447/,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...
                            2012 / 美国 / 剧情 动作 西部 冒险
                        ",8.8,617931人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
神偷奶爸,https://movie.douban.com/subject/3287562/,"
                            导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...
                            2010 / 美国 法国 / 喜剧 动画 冒险
                        ",8.7,959155人评价,Mr. I Don't Care其实也有Care的时候。
茶馆,https://movie.douban.com/subject/1461403/,"
                            导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...
                            1982(中国大陆) / 中国大陆 / 剧情 历史
                        ",9.6,152987人评价,
告白,https://movie.douban.com/subject/4268598/,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...
                            2010 / 日本 / 剧情 悬疑
                        ",8.8,679072人评价,没有一人完全善，也没有一人完全恶。
玛丽和马克思,https://movie.douban.com/subject/3072124/,"
                            导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...
                            2009 / 澳大利亚 美国 / 剧情 喜剧 动画
                        ",9.0,425293人评价,你是我最好的朋友，你是我唯一的朋友 。
哪吒闹海,https://movie.douban.com/subject/1307315/,"
                            导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan   主演: 梁正晖 Zhenghui ...
                            1979 / 中国大陆 / 冒险 动画 奇幻
                        ",9.2,264086人评价,想你时你在闹海。
大鱼,https://movie.douban.com/subject/1291545/,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
                            2003 / 美国 / 剧情 家庭 奇幻 冒险
                        ",8.8,574832人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
九品芝麻官,https://movie.douban.com/subject/1297518/,"
                            导演: 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...
                            1994 / 中国香港 中国大陆 / 剧情 喜剧 古装
                        ",8.7,692912人评价,
色，戒,https://movie.douban.com/subject/1828115/,"
                            导演: 李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...
                            2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色
                        ",8.7,825709人评价,假戏真情，爱欲深海
喜宴,https://movie.douban.com/subject/1303037/,"
                            导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...
                            1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭
                        ",9.0,369898人评价,中国家庭的喜怒哀乐忍。
模仿游戏,https://movie.douban.com/subject/10463953/,"
                            导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...
                            2014 / 英国 美国 / 剧情 传记 战争 同性
                        ",8.8,656662人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,https://movie.douban.com/subject/4920389/,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...
                            2018 / 美国 / 动作 科幻 冒险
                        ",8.7,1385300人评价,写给影迷，动漫迷和游戏迷的一封情书。
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
                            1993 / 中国香港 / 喜剧 奇幻 武侠 古装
                        ",8.7,646268人评价,百看不厌。 
花样年华,https://movie.douban.com/subject/1291557/,"
                            导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...
                            2000 / 中国香港 / 剧情 爱情
                        ",8.8,618673人评价,偷情本没有这样美。
我是山姆,https://movie.douban.com/subject/1306861/,"
                            导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...
                            2001 / 美国 / 剧情 家庭
                        ",9.0,342759人评价,爱并不需要智商 。
阳光姐妹淘,https://movie.douban.com/subject/4917726/,"
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
                            2011 / 韩国 / 剧情 喜剧
                        ",8.8,595598人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
头脑特工队,https://movie.douban.com/subject/10533913/,"
                            导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...
                            2015 / 美国 / 喜剧 动画 冒险
                        ",8.8,625552人评价,愿我们都不用长大，每一座城堡都能永远存在。
血战钢锯岭,https://movie.douban.com/subject/26325320/,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...
                            2016 / 澳大利亚 美国 / 剧情 传记 历史 战争
                        ",8.7,791666人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
七武士,https://movie.douban.com/subject/1295399/,"
                            导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...
                            1954 / 日本 / 动作 冒险 剧情
                        ",9.3,201584人评价,时代悲歌。
恐怖直播,https://movie.douban.com/subject/21360417/,"
                            导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...
                            2013 / 韩国 / 剧情 犯罪 悬疑
                        ",8.7,660777人评价,恐怖分子的“秋菊打官司”。
惊魂记,https://movie.douban.com/subject/1293181/,"
                            导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...
                            1960 / 美国 / 悬疑 惊悚 恐怖
                        ",9.0,301777人评价,故事的反转与反转，分裂电影的始祖。
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,"
                            导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...
                            2003 / 美国 / 动作 科幻
                        ",8.8,452721人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。,https://movie.douban.com/subject/26683290/,"
                            导演: 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki / 上...
                            2016 / 日本 / 剧情 爱情 动画
                        ",8.5,1427858人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
电锯惊魂,https://movie.douban.com/subject/1417598/,"
                            导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...
                            2004 / 美国 / 悬疑 惊悚 恐怖
                        ",8.7,543070人评价,真相就在眼前。
三块广告牌,https://movie.douban.com/subject/26611804/,"
                            导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...
                            2017 / 英国 美国 / 剧情 犯罪
                        ",8.7,830234人评价,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,"
                            导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...
                            2013 / 美国 / 剧情 传记 同性
                        ",8.8,458467人评价,Jared Leto的腿比女人还美！
疯狂原始人,https://movie.douban.com/subject/1907966/,"
                            导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...
                            2013 / 美国 / 喜剧 动画 冒险
                        ",8.7,848886人评价,老少皆宜，这就是好莱坞动画的魅力。
心迷宫,https://movie.douban.com/subject/25917973/,"
                            导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...
                            2014 / 中国大陆 / 剧情 犯罪 悬疑
                        ",8.7,530779人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
谍影重重3,https://movie.douban.com/subject/1578507/,"
                            导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...
                            2007 / 美国 德国 法国 英国 / 动作 悬疑 惊悚
                        ",8.8,424349人评价,像吃了苏打饼一样干脆的电影。
上帝之城,https://movie.douban.com/subject/1292208/,"
                            导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund   ...
                            2002 / 巴西 法国 / 犯罪 剧情
                        ",9.0,304700人评价,被上帝抛弃了的上帝之城。
英雄本色,https://movie.douban.com/subject/1297574/,"
                            导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...
                            1986 / 中国香港 / 剧情 动作 犯罪
                        ",8.6,549124人评价,英雄泪短，兄弟情长。 
风之谷,https://movie.douban.com/subject/1291585/,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...
                            1984 / 日本 / 动画 奇幻 冒险
                        ",8.9,358551人评价,动画片的圣经。
纵横四海,https://movie.douban.com/subject/1295409/,"
                            导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...
                            1991 / 中国香港 / 剧情 喜剧 动作 犯罪
                        ",8.8,431721人评价,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店,https://movie.douban.com/subject/1291822/,"
                            导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...
                            2004 / 英国 南非 意大利 美国 / 剧情 传记 历史 战争
                        ",8.9,334519人评价,当这个世界闭上双眼，他却敞开了怀抱。
海街日记,https://movie.douban.com/subject/25895901/,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...
                            2015 / 日本 / 剧情 家庭
                        ",8.8,455942人评价,是枝裕和的家庭习作。
爱在午夜降临前,https://movie.douban.com/subject/10808442/,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            2013 / 美国 希腊 / 剧情 爱情
                        ",8.9,410327人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
绿里奇迹,https://movie.douban.com/subject/1300374/,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / ...
                            1999 / 美国 / 犯罪 剧情 奇幻 悬疑
                        ",8.9,335842人评价,天使暂时离开。
记忆碎片,https://movie.douban.com/subject/1304447/,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...
                            2000 / 美国 / 犯罪 剧情 悬疑 惊悚
                        ",8.7,612063人评价,一个针管引发的血案。
小丑,https://movie.douban.com/subject/27119724/,"
                            导演: 托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...
                            2019 / 美国 加拿大 / 剧情 犯罪 惊悚
                        ",8.7,1020490人评价,
疯狂的石头,https://movie.douban.com/subject/1862151/,"
                            导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin
                            2006 / 中国大陆 中国香港 / 喜剧 犯罪
                        ",8.6,834185人评价,中国版《两杆大烟枪》。
背靠背，脸对脸,https://movie.douban.com/subject/1307856/,"
                            导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...
                            1994 / 中国大陆 中国香港 / 剧情
                        ",9.5,138260人评价,
雨中曲,https://movie.douban.com/subject/1293460/,"
                            导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   主演: 吉恩·...
                            1952 / 美国 / 喜剧 歌舞 爱情
                        ",9.1,230319人评价,骨灰级歌舞片。
岁月神偷,https://movie.douban.com/subject/3792799/,"
                            导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...
                            2010 / 中国香港 中国大陆 / 剧情 家庭
                        ",8.7,578948人评价,岁月流逝，来日可追。
2001太空漫游,https://movie.douban.com/subject/1292226/,"
                            导演: 斯坦利·库布里克 Stanley Kubrick   主演: 凯尔·杜拉 Keir Dullea / ...
                            1968 / 英国 美国 / 科幻 惊悚 冒险
                        ",8.9,336949人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
心灵奇旅,https://movie.douban.com/subject/24733428/,"
                            导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   主演: 杰米·...
                            2020 / 美国 / 动画 奇幻 音乐
                        ",8.7,997959人评价,
忠犬八公物语,https://movie.douban.com/subject/1959195/,"
                            导演: 神山征二郎 Seijirô Kôyama   主演: 仲代达矢 Tatsuya Nakadai /...
                            1987 / 日本 / 剧情
                        ",9.2,198562人评价,养狗三日，便会对你终其一生。
荒蛮故事,https://movie.douban.com/subject/24750126/,"
                            导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...
                            2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪
                        ",8.8,449556人评价,始于荒诞，止于更荒诞。
无间道2,https://movie.douban.com/subject/1307106/,"
                            导演: 刘伟强 / 麦兆辉   主演: 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...
                            2003 / 中国香港 / 剧情 犯罪 惊悚
                        ",8.7,487902人评价,
小偷家族,https://movie.douban.com/subject/27622447/,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...
                            2018 / 日本 / 剧情 犯罪 家庭
                        ",8.7,820697人评价,我们组成了家。
无敌破坏王,https://movie.douban.com/subject/6534248/,"
                            导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...
                            2012 / 美国 / 喜剧 动画 奇幻 冒险
                        ",8.7,548094人评价,迪士尼和皮克斯拿错剧本的产物。
爆裂鼓手,https://movie.douban.com/subject/25773932/,"
                            导演: 达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...
                            2014 / 美国 / 剧情 音乐
                        ",8.7,596654人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
冰川时代,https://movie.douban.com/subject/1291578/,"
                            导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...
                            2002 / 美国 / 喜剧 动画 冒险
                        ",8.6,623727人评价,松鼠才是角儿。
恐怖游轮,https://movie.douban.com/subject/3011051/,"
                            导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...
                            2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚
                        ",8.5,877841人评价,不要企图在重复中寻找已经失去的爱。
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,"
                            导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...
                            2008 / 英国 / 剧情 爱情
                        ",8.6,752930人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,"
                            导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...
                            1991 / 中国台湾 / 剧情 犯罪
                        ",8.9,306915人评价,弱者送给弱者的一刀。
东邪西毒,https://movie.douban.com/subject/1292328/,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...
                            1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装
                        ",8.6,583260人评价,电影诗。
魔女宅急便,https://movie.douban.com/subject/1307811/,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama / 佐久间玲 Re...
                            1989 / 日本 / 动画 奇幻 冒险
                        ",8.7,466377人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
