orderID,barcode,categoryID,name,pricePer,retailPrice,tradePrice,unitID,count
154243654824615317520,6924160714093,1,无穷烤鸡小腿蜂蜜味60g,10,10,6.5,8,1
15424365522765188789,6971062710036,1,亿家馨泡鸭翅香辣28g,2,2,0,8,1
15424365522765188789,6959580800095,1,长香辣脖,2,2,0,8,2
15424365513198558863,6920548862011,1,旺仔QQ糖  香橙味,1,1,0.75,0,2
154243655271015812332,6935554630035,1,冠华南乳花生仁150g,5,5,4.1,8,1
154243655271015812332,6954767412573,1,可口可乐500ml,3,3,2.1,2,1
154243655308914008258,6901028118170,1,利群版包装,14,14,12.29,8,1
15424365384397049141,6901028317122,1,玉溪,23,23,20,8,1
154243661119217554455,99999999-1,1,无码商品,11,11,0,0,1
154243656439712577793,6926265329394,1,凤梨味硬糖,3.5,3.5,2.5,4,1
15424365652888145688,6948406100143,10,老皮干,4,4,0,4,1
154243656673924271161,6901028004046,21,双喜(金01)【包装】,15,15,12.93,8,1
154243657169915999547,6901028193498,1,黄芙蓉王,25,25,22.5,8,1
15424365723856189708,8888075024020,1,555（冰炫）,24,24,21.61,8,1
154243655996323096194,6901028314978,21,红塔山经典包装,8,8,6.67,8,1
154243657395213225880,69029783,1,小德芙,2,2,1.5,0,2
154243657420614002921,6901028191012,1,白沙包装,6.5,6.5,3.81,8,2
15424365756006186607,6921168509256,1,农夫山泉,2,2,0.93,2,1
154243657501422268357,6911316100312,10,比巴卜夹心泡泡糖5g,2.5,2.5,1.35,10,1
15424365780276183608,6925303730574,1,统一阿萨姆奶茶500ml,4,4,3.13,2,1
154243631237824072517,6901028191012,21,白沙包装,6.5,6.5,3.81,8,1
154243143687024071936,6933364808026,10,旺家婆盐局鸡腿味0g,8,8,0,8,1
154241874718524077536,6933125698873,10,湘潭铺子15元装,15,15,0,8,1
15424365827156972859,6901028221443,1,贵烟(跨越),25,25,21,8,2
154243658168812265821,6901028193498,1,黄王,25,25,21.83,8,1
15424365797506187407,6901028111263,1,南京（炫赫门）,18,18,14.31,8,1
15424364674527206707,6936869215085,1,味芝元鱼尾26g,1.5,1.5,0,8,1
15424364674527206707,6920907800616,1,好丽友蛋黄派,4,4,0,3,1
15424364674527206707,6922843700043,1,泡泡干,12,12,0,4,1
154243658753121511982,6921168500956,11,水溶C柠檬汁饮料445ml,5,5,4,2,1
154243659079820708326,6901028191012,21,白沙包装,7,7,3.81,8,1
154243659079820708326,6925909980151,10,张新发槟榔5g,20,20,15.58,8,1
15424365886367206304,6922824589018,1,涂层蛋卷牛奶味,3,3,0,4,1
